"Universidade Catolica Portuguesa, Lisboa",23
Universidade da CoruÒa,23
Universidade de Brasilia,22
Universidade de Vigo,24
Universidade do Estado do Rio de Janeiro (UERJ),23
Universidade Estadual de Londrina,22
Universidade Federal de S„o Carlos,24
Universidade Federal de ViÁosa,22
Universidade Federal do Paran· (UFPR),22
Universidade Federal do Pernambuco,24
Universidade Federal Fluminense,24
Universit‡ degli Studi di Catania (UniCT),23
Universit‡ degli Studi di Ferrara,22
Universit‡ degli Studi di Salerno,22
Universita degli Studi di Udine,24
Universit‡ degli Studi Roma Tre,23
Universit‡† degli Studi di Palermo,24
Universit‰t Siegen,23
UniversitÈ de Nantes,24
UniversitÈ de Poitiers,23
UniversitÈ de Rennes 1,23
UniversitÈ LumiËre Lyon 2,22
UniversitÈ Paul-ValÈry Montpellier 3,23
"UniversitÈ Toulouse 1, Capitole",22
Universiti Malaysia Sarawak (UNIMAS),23
Universiti Tenaga Nasional (UNITEN),23
Universiti Tunku Abdul Rahman (UTAR),24
